representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
MIDNIGHT12K_CONTEXT,1,4,Plasma cell,0.26323119777158777,0.22798552472858866,0.24434389140271492,0.7096219035870378,0.22977092555108503,1658
MIDNIGHT12K_CONTEXT,1,5,T and B,0.5346851654215582,0.2273655547991831,0.3190574749243751,0.7030935432292212,0.454342095442387,4407
MIDNIGHT12K_CONTEXT,1,6,Tumor,0.413151364764268,0.383199079401611,0.39761194029850744,0.8942266940370031,0.42815242499926404,869
MIDNIGHT12K_CONTEXT,2,0,Endothelial,0.28286014721345953,0.271900269541779,0.2772719464009621,0.7124717420836324,0.25230469562649277,2968
MIDNIGHT12K_CONTEXT,2,1,Mesenchymal,0.26214405360134,0.10549376474553421,0.15044460466234075,0.7081902417128045,0.2146737971012782,2967
MIDNIGHT12K_CONTEXT,2,2,Myeloid,0.2553284036537625,0.2210090361445783,0.23693239152371343,0.545928550310793,0.2530618100514324,5312
MIDNIGHT12K_CONTEXT,2,3,Neutrophil,0.09154929577464789,0.042483660130718956,0.05803571428571429,0.5739758764714447,0.06750400056605871,1224
MIDNIGHT12K_CONTEXT,2,4,Plasma cell,0.4017857142857143,0.10948905109489052,0.17208413001912046,0.737088316538325,0.17642365338167398,1233
MIDNIGHT12K_CONTEXT,2,5,T and B,0.479933110367893,0.28999663186258,0.3615368465252992,0.6426114629921346,0.4058423307978939,5938
MIDNIGHT12K_CONTEXT,2,6,Tumor,0.37629831431976846,0.8433505056286968,0.5203979513745806,0.8096424325904983,0.4824697645024305,5241
MIDNIGHT12K_CONTEXT,3,0,Endothelial,0.40352164343360236,0.4410585404971933,0.42145593869731807,0.7684404891109433,0.4546924539728301,1247
MIDNIGHT12K_CONTEXT,3,1,Mesenchymal,0.2857142857142857,0.1276962899050906,0.1765056648777579,0.6553885414425825,0.25215188580169595,1159
MIDNIGHT12K_CONTEXT,3,2,Myeloid,0.22988505747126436,0.09033423667570009,0.12970168612191957,0.6261662533396037,0.2191803893100507,1107
MIDNIGHT12K_CONTEXT,3,3,Neutrophil,0.1350844277673546,0.21818181818181817,0.16685979142526072,0.7201018645097591,0.09973910053060409,330
MIDNIGHT12K_CONTEXT,3,4,Plasma cell,0.0,0.0,0.0,0.7845100875601242,0.08061448242673502,149
